source,target
Anthony Russo,Mathieu Kassovitz
NA,Robert Butler
Raja Gosnell,Joel Coen
Paul Weitz,David O. Russell
Rob Cohen,James Wong
Chuck Russell,Geoff Murphy
Andrew Adamson,Oliver Parker
Dan Scanlon,Peter Howitt
Steven Spielberg,Brad Furman
Wolfgang Petersen,John Landis
NA,Steve Antin
Michael Mann,Donald Petrie
Frank Oz,Demian Lichtenstein
Jay Roach,Marco Schnabel
Mike Newell,Denis Villeneuve
Adam Shankman,Garry Marshall
Mike Mitchell,David Gordon Green
Robert Schwentke,Alan Parker
John McTiernan,Wayne Wang
Dennis Dugan,Larry Charles
Ivan Reitman,Judd Apatow
Sam Raimi,John Hamburg
Steven Spielberg,Thomas Carter
Ron Underwood,Robert Redford
Kathryn Bigelow,Tom Hooper
Shawn Levy,Howard Deutch
Paul Greengrass,Francis Ford Coppola
Paul Weitz,Harold Ramis
Adam McKay,Ruben Fleischer
James Wan,David R. Ellis
Rob Cohen,Ted Kotcheff
Jon Turteltaub,Barbet Schroeder
Mark Waters,Rob Reiner
Tim Burton,Simon Wincer
Brad Bird,Richard LaGravenese
Yarrow Cheney,Pierre Coffin
Jon Turteltaub,Andrew Niccol
Duncan Jones,Danny Boyle
Sydney Pollack,Taylor Hackford
Michael Patrick King,Peter Billingsley
Mark Waters,Josh Gordon
Joe Dante,Don Bluth
Mark Andrews,Garth Jennings
Lana Wachowski,Thomas Carter
Dean DeBlois,Richard LaGravenese
Michael Mann,Walter Hill
Edgar Wright,David Slade
Rob Letterman,Denis Villeneuve
Tom Shadyac,Stephen Frears
Roland Joffé,Olivier Megaton
Chris Miller,Andrew Niccol
Chris Wedge,Griffin Dunne
Jonathan Mostow,Danny DeVito
Mark Waters,Brenda Chapman
Joe Dante,Henry Selick
Dean DeBlois,Patrick Lussier
Jon Turteltaub,David Gordon Green
George Lucas,Wayne Wang
Quentin Tarantino,Joel Coen
Nancy Meyers,Nora Ephron
M. Night Shyamalan,Stephen Gaghan
Frank Oz,Brian Levant
Sam Mendes,Anne Fletcher
Marc Forster,Catherine Hardwicke
Lawrence Guterman,David O. Russell
Sergey Bodrov,Jay Russell
Rupert Wyatt,Ryan Murphy
Nancy Meyers,Clint Eastwood
Oliver Stone,John Carpenter
Paul Verhoeven,Karey Kirkpatrick
Brad Peyton,Kevin Bray
Simon West,Joel Coen
Martin Brest,Michael Lembeck
Jonathan Demme,Randall Wallace
John Singleton,Ron Shelton
Rob Cohen,Luis Llosa
Peter Hyams,Kevin Macdonald
George A. Romero,Alejandro Amenábar
Gore Verbinski,Wes Craven
Peter Chelsom,Iain Softley
Walt Becker,Tim Hill
Joe Dante,David Silverman
Carl Rinsch,Stephen Frears
NA,Spike Lee
Paul Greengrass,George Nolfi
Brad Silberling,Harold Ramis
Roger Spottiswoode,Jesse Dylan
Michael Bay,Paul McGuigan
Joseph Kosinski,Michael Cimino
Martin Scorsese,Russell Mulcahy
Jon Turteltaub,Patrick Lussier
Oliver Stone,David Gordon Green
Stephen Hopkins,Måns Mårlind
NA,Brian Helgeland
Robert Schwentke,Curtis Hanson
Quentin Tarantino,Walter Hill
Joseph Kosinski,Paul McGuigan
NA,Frank Marshall
Bo Welch,Stephen Herek
McG,Brian Gibson
Steven Spielberg,Billy Bob Thornton
Chris Columbus,Terrence Malick
Tim Story,Steve Antin
Mark Waters,Brian Levant
Yarrow Cheney,Kyle Balda
Joe Johnston,Danny Boyle
Ron Underwood,Harold Ramis
John Lee Hancock,Brian Robbins
Renny Harlin,David McNally
Pierre Coffin,Kyle Balda
Phillip Noyce,Spike Lee
Len Wiseman,Sam Weisman
Pierre Coffin,Judd Apatow
Kevin Reynolds,Peter Howitt
Shawn Levy,Danny DeVito
Andrew Davis,Taylor Hackford
Yarrow Cheney,David Silverman
Barry Levinson,Don Bluth
Joseph Kosinski,Barbra Streisand
Joseph Kosinski,Mark Pellington
John Lasseter,Barbra Streisand
Eric Leighton,Spike Lee
John McTiernan,Milos Forman
Anthony Minghella,Doug Lefler
John Singleton,Clark Johnson
J.J. Abrams,John Hamburg
Rob Minkoff,Andrew Bergman
NA,Gary Fleder
Martin Campbell,John Glen
Steven Spielberg,Gus Van Sant
Breck Eisner,Christophe Gans
Paul Verhoeven,John Whitesell
Rob Cohen,Billy Bob Thornton
Doug Liman,Sean Penn
John McTiernan,John Whitesell
James Cameron,Christian Duguay
Sam Raimi,Joan Chen
Quentin Tarantino,Mark Neveldine
Nancy Meyers,David Frankel
Roger Christian,Bobby Farrelly
Rob Cohen,George P. Cosmatos
Jonathan Liebesman,Danny DeVito
M. Night Shyamalan,David Gordon Green
NA,Jorge R. Gutiérrez
John McTiernan,Neil Jordan
Ron Underwood,Walter Hill
Chris Miller,Brad Furman
Guy Ritchie,Brian Helgeland
Paul Weitz,Jesse Dylan
Quentin Tarantino,Kevin Bray
Robert Luketic,Betty Thomas
Andy Tennant,Steve Carr
Ridley Scott,Nick Cassavetes
Paul Greengrass,Stephen Gaghan
Peter Segal,Baltasar Kormákur
Ivan Reitman,Michael Lembeck
Steven Spielberg,Barbra Streisand
John McTiernan,Brian Helgeland
Roger Allers,Peter Billingsley
Roger Spottiswoode,Francis Ford Coppola
Steven Spielberg,John Glen
John Woo,Spike Lee
Steven Soderbergh,Francis Ford Coppola
Peter Hyams,Anthony Hemingway
Nancy Meyers,Robert Redford
Alex Proyas,Andrew Niccol
NA,John Landis
Paul Verhoeven,Joe Roth
Todd Phillips,Baltasar Kormákur
Joseph Kosinski,Bruce Beresford
Raja Gosnell,Jim Gillespie
Paul Weitz,John Frankenheimer
Antoine Fuqua,George Clooney
Martin Campbell,Anne Fletcher
Roger Spottiswoode,Curtis Hanson
Stephen Sommers,Brian Gibson
Ron Howard,Stephen Frears
Ang Lee,John Carpenter
Steven Soderbergh,Curtis Hanson
Brad Silberling,Sean Anders
Peter Segal,Tim Hill
Roland Emmerich,Catherine Hardwicke
Roland Joffé,Oliver Parker
Chris Wedge,Jesse Dylan
Wally Pfister,Rod Lurie
Rupert Wyatt,Tony Bill
David Pastor,Garry Marshall
Marc Webb,Greg Mottola
David Fincher,Mathieu Kassovitz
Jon Turteltaub,John A. Davis
NA,Danny Boyle
John Lee Hancock,Scott Stewart
Don Bluth,Cameron Crowe
Dean DeBlois,Simon Wincer
Roger Spottiswoode,David Dobkin
Tarsem Singh,Ryan Murphy
Stephen Norrington,Michael CatonJones
Wolfgang Petersen,David Lynch
Tim Story,Jaume ColletSerra
Mike Nichols,Bobby Farrelly
Mike Mitchell,Ben Affleck
NA,Peter Webber
John Singleton,Alejandro Amenábar
Steve Carr,Betty Thomas
Martin Scorsese,John Glen
Pitof,Wayne Wang
Brad Silberling,Jesse Dylan
John Lee Hancock,Walter Hill
Renny Harlin,Rod Lurie
Kevin Costner,Lawrence Kasdan
Steve Carr,Garry Marshall
Lana Wachowski,Evan Goldberg
Wolfgang Petersen,John Gray
Chris Miller,Julie Taymor
Bill Condon,David Cronenberg
Tony Gilroy,Tommy Wirkola
Michael Bay,Peter Hedges
David Fincher,Billy Bob Thornton
Ben Stiller,Rod Lurie
Terry Gilliam,Stanley Kubrick
Rob Cohen,John Herzfeld
Carl Rinsch,Gus Van Sant
Pete Travis,Jay Russell
Oliver Stone,David Lynch
Roger Donaldson,Frank Marshall
Brad Peyton,Rawson Marshall Thurber
Tony Scott,Francis Ford Coppola
Mark Dindal,Karyn Kusama
Andrew Davis,Jon Avnet
Steven Spielberg,Wes Craven
Doug Liman,Catherine Hardwicke
Paul Feig,Penny Marshall
Michael Mann,Terrence Malick
Peter Chelsom,Robert Rodriguez
Paul Weitz,Francis Ford Coppola
Rupert Wyatt,John Dahl
Jon Turteltaub,Danny Pang
Raja Gosnell,John Whitesell
Len Wiseman,Pierre Morel
Ron Underwood,Gabriele Muccino
Edgar Wright,Chris Butler
Andy Tennant,Kerry Conran
Lana Wachowski,Anne Fletcher
Shawn Levy,Julie Taymor
Joel Schumacher,Christophe Gans
George Lucas,James McTeigue
Peter Jackson,J.A. Bayona
Tim Burton,Christian Duguay
NA,Patrick Read Johnson
Oliver Stone,Sean Penn
Jay Roach,Sam Weisman
Barry Sonnenfeld,Charles Shyer
Matt Reeves,Catherine Hardwicke
Robert Schwentke,Danny Boyle
Kirk De Micco,Angela Robinson
Frank Coraci,John Whitesell
Brad Silberling,Kent Alterman
Ron Underwood,John Frankenheimer
Andrew Davis,JeanPierre Jeunet
Pete Docter,Ken Kwapis
Rob Cohen,John G. Avildsen
Quentin Tarantino,Robert Rodriguez
Chris Wedge,Karey Kirkpatrick
Bibo Bergeron,Mike Gabriel
Renny Harlin,Stephen Herek
Scott Derrickson,Marc Lawrence
NA,Patrick Lussier
David Twohy,Christophe Gans
Mike Mitchell,Catherine Hardwicke
M. Night Shyamalan,Garth Jennings
Brad Peyton,Andy Fickman
Lee Unkrich,Stephen Daldry
Brad Bird,Catherine Hardwicke
Frank Coraci,Spike Lee
Kevin Costner,Roman Polanski
Phil Lord,Sean Anders
Jonathan Demme,Marc Lawrence
Judd Apatow,Mikael Håfström
Ridley Scott,Jerry Jameson
Roland Emmerich,Peter Hedges
Peyton Reed,Patrick Lussier
Simon West,Jay Chandrasekhar
Ron Underwood,Karyn Kusama
George A. Romero,JeanPierre Jeunet
Randall Wallace,Andrzej Bartkowiak
Bryan Singer,Joonho Bong
Martin Scorsese,Nicholas Stoller
J.J. Abrams,Justin Chadwick
Adam McKay,John Whitesell
Tarsem Singh,Donald Petrie
Peter Segal,Ruben Fleischer
Stephen Hopkins,Robert Redford
Pierre Coffin,Glenn Ficarra
Garry Marshall,Bobby Farrelly
David Ayer,Nicholas Stoller
Breck Eisner,Brad Furman
John McTiernan,Wes Anderson
Paul Weitz,Neil Jordan
Dennis Dugan,Sean Anders
Stephen Hopkins,Jay Russell
Rob Letterman,Peter Hedges
Roger Donaldson,Howard Deutch
John Lee Hancock,Gabriele Muccino
McG,Sofia Coppola
Alan Taylor,Burr Steers
Oliver Stone,Gus Van Sant
Andy Tennant,Nora Ephron
Matt Reeves,Ken Kwapis
Steve Hickner,Susan Stroman
Paul Greengrass,Ted Kotcheff
John McTiernan,David Gordon Green
Joel Schumacher,David Cronenberg
Joe Dante,David Frankel
Randall Wallace,Bobby Farrelly
Andrew Adamson,Jonathan Lynn
Brad Bird,Anne Fletcher
Wolfgang Petersen,John Glen
Shawn Levy,Gus Van Sant
Paul Verhoeven,CostaGavras
Roger Spottiswoode,Christophe Gans
Les Mayfield,Geoff Murphy
Oliver Hirschbiegel,Keenen Ivory Wayans
Pete Docter,Jake Kasdan
Dean Parisot,David R. Ellis
NA,Brad Furman
Eric Leighton,Olivier Megaton
Ron Underwood,Robert Rodriguez
Måns Mårlind,Wych Kaosayananda
Rob Marshall,KarWai Wong
John McTiernan,Richard LaGravenese
Gary Winick,Donald Petrie
Les Mayfield,JeanPierre Jeunet
John Singleton,Tim Hill
Frank Darabont,Rob Bowman
Gore Verbinski,Kevin Smith
Phil Lord,Akiva Schaffer
F. Gary Gray,Baltasar Kormákur
Andy Tennant,Taylor Hackford
Doug Liman,Greg Mottola
Ericson Core,Pierre Morel
Sam Raimi,Ethan Coen
Jon Favreau,Justin Chadwick
Ridley Scott,Norman Jewison
Carl Rinsch,Alejandro Agresti
Rich Moore,Nicholas Stoller
Edward Zwick,John Schultz
Roger Donaldson,Andrew Niccol
Steve Carr,Clint Eastwood
John Woo,James Wong
George Lucas,David Gordon Green
Roger Donaldson,John Carpenter
Pierre Coffin,David Frankel
Randall Wallace,Rob Bowman
Michael Bay,Jeff Nathanson
Kevin Reynolds,Kelly Makin
George Lucas,Jim Sheridan
Renny Harlin,Robert Butler
Ivan Reitman,Harold Ramis
Steven Spielberg,Malcolm D. Lee
NA,David R. Ellis
Neil Burger,Sean Anders
Barry Levinson,Rob Reiner
Jon Favreau,Sofia Coppola
Alex Proyas,Simon Wincer
NA,Peter Howitt
Les Mayfield,Joel Coen
Randall Wallace,Lawrence Kasdan
Ridley Scott,Steve Miner
Michael Bay,Jonathan Lynn
Guillermo del Toro,Christian Alvart
Steven Soderbergh,Andrew Niccol
M. Night Shyamalan,Burr Steers
Tony Scott,Christophe Gans
Martin Scorsese,J.A. Bayona
Rob Cohen,Stephen Kay
Ron Underwood,Spike Lee
Barry Sonnenfeld,Ethan Coen
NA,Mathieu Kassovitz
Joe Johnston,John Glen
Des McAnuff,Brian Levant
Randall Wallace,Clint Eastwood
Brett Ratner,Lee Daniels
Ben Stiller,Scott Cooper
Matt Reeves,Frederik Du Chau
James Mangold,Olivier Megaton
John Moore,Terrence Malick
JeanJacques Annaud,Wayne Wang
Carl Rinsch,Pat O'Connor
Frank Oz,Spike Lee
Paul W.S. Anderson,William Friedkin
Andy Tennant,Marc Lawrence
Eric Darnell,Wes Craven
Shawn Levy,Ken Kwapis
NA,Simon Wincer
Brad Silberling,Matthew O'Callaghan
Roger Spottiswoode,Danny DeVito
Luc Besson,Spike Lee
Mick Jackson,Jim Gillespie
Joe Dante,Harold Ramis
Tom Shadyac,Malcolm D. Lee
Tony Gilroy,Roger Michell
Tim Story,David Zucker
Matt Reeves,Elaine May
Carl Rinsch,Stephen Kay
Shawn Levy,Nicholas Stoller
Paul Greengrass,Billy Bob Thornton
Peter Segal,Sam Weisman
Bryan Singer,Michael Tollin
Tim Story,Thomas Carter
John Milius,Francis Ford Coppola
Todd Phillips,Kevin Bray
Seth Gordon,Sean Anders
Robert Luketic,Chris Butler
Steven Spielberg,Norman Jewison
Martin Scorsese,Richard Shepard
Joseph Kosinski,Ethan Coen
Chris Miller,Jake Kasdan
Peter Weir,Gus Van Sant
Quentin Tarantino,Barbet Schroeder
Ben Stiller,John Whitesell
Michael CatonJones,Clint Eastwood
Michael Bay,Kevin Smith
Rob Cohen,Peter HoSun Chan
Sarah Smith,Peter Lord
Betty Thomas,Tim Hill
Luc Besson,James McTeigue
Bob Fosse,William Friedkin
Garry Marshall,Tim Hill
Lee Unkrich,Ethan Coen
Ivan Reitman,Stephen Herek
Joseph Kosinski,Charles Martin Smith
Joel Schumacher,David Lynch
Roger Donaldson,Terence Young
Bibo Bergeron,Matthew O'Callaghan
Robert Zemeckis,Luis Mandoki
Brad Bird,Jerry Jameson
NA,John Hamburg
Paul Greengrass,Gus Van Sant
Thor Freudenthal,John Whitesell
Andy Tennant,Geoff Murphy
Dan Scanlon,Chris Rock
Timur Bekmambetov,Brian Helgeland
Doug Lefler,Tom Hooper
Roland Emmerich,Steve Miner
Luc Besson,Stephen Gaghan
JeanJacques Annaud,Francis Ford Coppola
James Cameron,Lasse Hallström
Barry Sonnenfeld,Steven E. de Souza
Robert Zemeckis,Steve Miner
John Woo,John Gray
Steven Soderbergh,Brad Furman
Raja Gosnell,Paul Bolger
Nancy Meyers,Curtis Hanson
Mike Nichols,Donald Petrie
Gore Verbinski,Lasse Hallström
Rob Cohen,Norman Jewison
Oliver Stone,Pat O'Connor
Rupert Wyatt,Gary Fleder
Nancy Meyers,Phyllida Lloyd
Joe Dante,Iain Softley
Mark Andrews,Kirk Jones
Alfonso Cuarón,Paul McGuigan
Neil Burger,Curtis Hanson
Stephen Hopkins,John Madden
Jonathan Demme,Mark Neveldine
Steven Brill,Stephen Herek
Frank Darabont,Brian Robbins
Steven Spielberg,Kevin Smith
Mark Andrews,Ethan Coen
Gavin Hood,Justin Chadwick
David Twohy,Mathieu Kassovitz
Kirk De Micco,David R. Ellis
Christopher Nolan,JeanMarc Vallée
James Gunn,Christian Alvart
Shawn Levy,Frederik Du Chau
Ron Underwood,Danny Boyle
John Lee Hancock,Gary Fleder
Judd Apatow,Kevin Donovan
Bryan Singer,Peter Landesman
Martin Scorsese,Steve Miner
Peter Chelsom,Warren Beatty
Garry Marshall,Brian Levant
Steven Spielberg,Irvin Kershner
Lana Wachowski,Ethan Coen
Jon M. Chu,Anne Fletcher
Florian Henckel von Donnersmarck,CostaGavras
Luc Besson,Alexander Witt
Dennis Dugan,Andy Fickman
Joe Dante,Stephen Herek
Andrew Adamson,Gary Chapman
Martin Scorsese,J Blakeson
Tony Gilroy,Ben Affleck
Ron Shelton,Harold Ramis
Randall Wallace,Brian Robbins
Barry Sonnenfeld,Peter Landesman
Steven Spielberg,Scott Hicks
David Fincher,Geoffrey Sax
Gregory Hoblit,Ryan Murphy
Jon Favreau,Ethan Coen
Rob Cohen,Ryan Coogler
Bryan Singer,Lasse Hallström
Doug Liman,David Leland
Antoine Fuqua,Rod Lurie
Gregory Hoblit,Jay Russell
John McTiernan,Gus Van Sant
Raja Gosnell,Joel Zwick
Michael Mann,Thomas Carter
Tony Scott,Stephen Frears
Ron Underwood,John Stockwell
Steven Spielberg,Kevin Rodney Sullivan
Andrew Adamson,JeanMarc Vallée
Eric Darnell,Malcolm D. Lee
NA,Bruce Beresford
Frank Oz,John Carpenter
Barry Levinson,Rod Lurie
Gore Verbinski,Rand Ravich
David Fincher,Charles S. Dutton
Jonathan Demme,Akiva Schaffer
Joe Dante,Sam Weisman
Rich Moore,David Mirkin
Rupert Wyatt,Danny Boyle
Brian De Palma,Adrian Lyne
Martin Brest,Neil Jordan
Ivan Reitman,Karyn Kusama
Sam Mendes,Hugh Hudson
Tim Burton,Tommy O'Haver
NA,Wes Craven
James Mangold,Ben Affleck
Henry Selick,Harold Becker
Andrew Adamson,Bille August
Chris Columbus,Annabel Jankel
Adam Shankman,Robert Rodriguez
Barry Levinson,Walter Salles
Eric Darnell,Marc F. Adler
Dean Parisot,Jake Kasdan
Richard Donner,Colin Strause
NA,Nick Cassavetes
Paul Verhoeven,John Glen
Jan de Bont,David Lynch
Tarsem Singh,Neil Jordan
Clint Eastwood,Baltasar Kormákur
Peter Berg,Peter Yates
David Fincher,Norman Jewison
NA,Nicholas Stoller
Ben Stiller,Carl Franklin
Andy Tennant,Walter Salles
Roger Spottiswoode,Billy Bob Thornton
Jon Amiel,Neil Jordan
F. Gary Gray,Stephen Herek
Rob Minkoff,Irwin Winkler
Mark Dindal,David Zucker
Sergey Bodrov,John Stockwell
Don Bluth,Walter Salles
Ridley Scott,Moustapha Akkad
Tim Burton,Lasse Hallström
Ang Lee,Diane Keaton
F. Gary Gray,Sean Anders
Frank Darabont,Harold Becker
George Clooney,Ruben Fleischer
Roland Emmerich,Gil Junger
Mike Mitchell,Kevin Smith
Rupert Wyatt,David Gordon Green
George A. Romero,Rawson Marshall Thurber
Barry Levinson,Stephen Herek
Brad Bird,Kevin Smith
Oliver Stone,Jonathan Lynn
Tarsem Singh,Joe Roth
Robert Luketic,Sean Anders
David S. Goyer,Keenen Ivory Wayans
Brett Ratner,Hark Tsui
Frank Oz,Richard Curtis
Renny Harlin,David Cronenberg
Michael Bay,JeanMarc Vallée
Joseph Kosinski,Lasse Hallström
Don Hall,Christian Ditter
Dean DeBlois,Jennifer Flackett
Brian De Palma,Steven Seagal
Adam Shankman,John Whitesell
Yarrow Cheney,Tom Dey
Jonathan Frakes,Stuart Baird
Michael Apted,Norman Jewison
Mick Jackson,Steven Seagal
Gary Winick,Spike Lee
Taylor Hackford,Demian Lichtenstein
Michael Bay,Ronny Yu
David Fincher,Ethan Coen
Matthew Vaughn,Kirk Jones
NA,Diane Keaton
James Mangold,Catherine Hardwicke
Roger Allers,Richard Loncraine
Alejandro Amenábar,Sam Fell
Ron Howard,Jonathan Lynn
Phillip Noyce,Peter Hedges
Neill Blomkamp,Sngmoo Lee
Frank Oz,Penny Marshall
Sydney Pollack,John Carpenter
Will Gluck,Marc Lawrence
Kevin Reynolds,Tobe Hooper
Joel Schumacher,Anne Fletcher
Roger Allers,Howard Deutch
Joe Johnston,Joonho Bong
Andrey Konchalovskiy,Danny Boyle
Paul W.S. Anderson,Carl Franklin
Jonathan Frakes,Tony Bill
Tom Shadyac,Michael Ritchie
Guy Ritchie,Nick Cassavetes
Steve Hickner,Jeff Nathanson
Raja Gosnell,Roger Kumble
Peter Hyams,Russell Mulcahy
David Mamet,Terence Young
Bibo Bergeron,Penny Marshall
Ben Stiller,Danny DeVito
Stephen Sommers,Gil Junger
Chris Miller,Ethan Coen
Frank Darabont,John Dahl
Stanley Kubrick,Kenny Ortega
Steven Spielberg,Lasse Hallström
NA,Irwin Winkler
Chuck Russell,Simon Wincer
Pitof,Russell Mulcahy
Nancy Meyers,Carl Franklin
Mike Nichols,William Friedkin
Roger Spottiswoode,John Glen
John Lee Hancock,Olivier Megaton
Mike Nichols,Kent Alterman
Barry Levinson,Alan Parker
Ridley Scott,Boaz Yakin
James Bobin,Charles Martin Smith
Michael Mann,Gus Van Sant
Brian De Palma,CostaGavras
Stephen Hopkins,Neil Jordan
Baltasar Kormákur,Marc Lawrence
Steven Spielberg,Lexi Alexander
Phillip Noyce,Justin Chadwick
Ridley Scott,Neil Marshall
James Wan,Tony Kaye
Tom Tykwer,Julie Taymor
Paul W.S. Anderson,Wes Anderson
Andy Tennant,John Frankenheimer
Steve Carr,Kevin Bray
Craig Gillespie,Ruben Fleischer
Michael Lehmann,Kenny Ortega
McG,Hayao Miyazaki
Lana Wachowski,Lasse Hallström
Don Hall,Luke Greenfield
Peter Weir,William Malone
Ivan Reitman,Joe Roth
Cameron Crowe,Stephen Herek
Paul Weitz,Michael Cimino
Antoine Fuqua,Ron Maxwell
Bobby Farrelly,Walter Hill
Michael Lehmann,Brian Levant
Nancy Meyers,Wes Anderson
Michael Lembeck,John Pasquin
Gore Verbinski,Alexander Payne
Joss Whedon,John Francis Daley
NA,William Malone
Robert Schwentke,Stephen Daldry
Paul Verhoeven,Jake Kasdan
Roger Donaldson,Bruce Beresford
Jerry Zucker,Shekhar Kapur
Roman Polanski,Brian Levant
NA,Malcolm D. Lee
Bibo Bergeron,Luis Llosa
Renny Harlin,P.J. Hogan
JeanJacques Annaud,John Carpenter
David Frankel,Marc Lawrence
Oliver Stone,Scott Hicks
Brad Silberling,Susan Stroman
Todd Phillips,Steven Quale
Martin Scorsese,Hark Tsui
Peter Hyams,George P. Cosmatos
Luc Besson,Russell Mulcahy
Sam Raimi,Jason Reitman
Eric Darnell,Chris Rock
Josh Trank,Ken Kwapis
Antoine Fuqua,Richard Lester
Nancy Meyers,Richard LaGravenese
Eric Darnell,Kevin Rodney Sullivan
George Miller,Scott Hicks
Gore Verbinski,Ted Demme
James Wan,Boaz Yakin
Roland Emmerich,George Tillman Jr.
Glenn Ficarra,Ruben Fleischer
Mark Dindal,Reginald Hudlin
Peter Segal,John Carpenter
Tim Hill,Brian Levant
Rob Cohen,Joachim Rønning
Brad Bird,Craig Mazin
Joe Johnston,Charles Martin Smith
Paul Weitz,John Herzfeld
Rupert Wyatt,Peter Howitt
Oliver Stone,Tobe Hooper
Frank Oz,Susan Stroman
Clint Eastwood,Robert Lorenz
Marco Schnabel,Kevin Donovan
Dan Scanlon,Don Scardino
José Padilha,Stephen Daldry
David Mamet,George P. Cosmatos
Mark Waters,John A. Davis
Peter Billingsley,Brian Robbins
Henry Selick,Francis Ford Coppola
Steven Spielberg,Richard Marquand
Sydney Pollack,Roger Michell
Jan de Bont,Nick Cassavetes
Edgar Wright,Richard LaGravenese
F. Gary Gray,John Whitesell
Jerry Zucker,David Dobkin
James Cameron,John R. Leonetti
Bryan Singer,Woody Allen
Renny Harlin,David Lynch
Frank Darabont,Robert Butler
Michael Apted,Michael Rymer
M. Night Shyamalan,Scott Hicks
Jon M. Chu,Steve Miner
George Lucas,Justin Chadwick
Andrew Adamson,Woody Allen
NA,Norman Jewison
Brad Silberling,Reginald Hudlin
Neil Burger,Penny Marshall
Todd Phillips,Jim Sheridan
Mike Nichols,Spike Lee
McG,Tim Robbins
Joe Johnston,Kevin Munroe
Martin Scorsese,Joe Charbanic
Rob Cohen,Scott Speer
Oliver Stone,Mike Hodges
Nancy Meyers,Stephen Frears
Joss Whedon,Drew Goddard
Peter Jackson,Woody Allen
Steven Brill,Steven Quale
Colin Trevorrow,Jonathan Levine
Lee Tamahori,Scott Hicks
Taylor Hackford,Rod Lurie
Roger Donaldson,Frederik Du Chau
Paul Weitz,Wes Craven
JeanJacques Annaud,Stephen Frears
Larry Charles,David Koepp
Mike Newell,Tom Reeve
Rob Letterman,David Wain
Neil Burger,Brad Furman
Michael Bay,Jason Reitman
David Fincher,Ronny Yu
Matt Birch,Jonathan Lynn
Chuck Russell,Wes Craven
Stephen Hopkins,Peter Webber
Don Bluth,Neil Jordan
Shawn Levy,Tommy O'Haver
Les Mayfield,Jim Sheridan
Steve Carr,Milos Forman
Craig Gillespie,Sam Weisman
Peter Berg,Peter Lepeniotis
Brett Ratner,Chris Noonan
Kenneth Branagh,Mike Hodges
NA,Ryan Coogler
Roger Donaldson,Stephen Kay
Zack Snyder,Kimberly Peirce
Michael Bay,Rian Johnson
Chris Columbus,David Carson
Ron Underwood,John Herzfeld
Tarsem Singh,Stephen Frears
Stephen Hopkins,Wes Anderson
Guillermo del Toro,John Francis Daley
David Fincher,Joachim Rønning
NA,Ethan Coen
Tarsem Singh,P.J. Hogan
Rob Cohen,John Luessenhop
John Woo,Peter HoSun Chan
Rupert Wyatt,Gus Van Sant
David Pastor,Brian Helgeland
Carl Rinsch,Joe Charbanic
Michael Bay,Woody Allen
Paul Greengrass,Ethan Coen
Ridley Scott,Paul Michael Glaser
Steven Spielberg,Tom Vaughan
Michael Apted,Lexi Alexander
Rob Minkoff,Gil Junger
Brian Levant,John Pasquin
Paul Greengrass,Kevin Smith
James Bobin,Tony Kaye
Chris Miller,Joachim Rønning
Chuck Russell,Colin Strause
Nancy Meyers,John A. Davis
Tarsem Singh,Roger Michell
Peter Segal,David Zucker
Tim Story,Jonathan Lynn
Lawrence Guterman,Anne Fletcher
Zack Snyder,Alister Grierson
John Woo,KarWai Wong
Betty Thomas,Rawson Marshall Thurber
Lana Wachowski,Michael Sucsy
Mike Mitchell,David Wain
Brad Silberling,Etan Cohen
Antoine Fuqua,Christophe Gans
Mike Mitchell,Jared Hess
Raja Gosnell,Charles Shyer
Kevin Costner,Wes Anderson
Michel Gondry,Malcolm D. Lee
Mark Dindal,Greg Mottola
Tony Bancroft,John Hamburg
Mick Jackson,Brian Gibson
Christopher Nolan,Gavin O'Connor
Mike Newell,Woody Allen
Rich Moore,David Wain
Robert Luketic,Jon Hurwitz
Betty Thomas,Hideo Nakata
Marc Webb,Tate Taylor
David O. Russell,Harold Ramis
Steven Spielberg,Woody Allen
Jon Favreau,Stephen Hillenburg
NA,Michael Tollin
Rupert Wyatt,Evan Goldberg
Tarsem Singh,John A. Davis
Ivan Reitman,Ted Kotcheff
Stuart Beattie,Sam Weisman
Ridley Scott,Brett Leonard
Eric Darnell,Hayao Miyazaki
Jon Amiel,Peter Howitt
Don Bluth,Richard Loncraine
Jay Russell,Akiva Goldsman
Ridley Scott,Alister Grierson
Peter Weir,Luke Greenfield
George Lucas,KarWai Wong
Randall Wallace,Frank Marshall
Tom Hooper,Shekhar Kapur
Josh Trank,Jeff Nathanson
Colin Trevorrow,Tate Taylor
Michael Bay,Phil Joanou
Matt Reeves,Ariel Vromen
James Bobin,Danny Cannon
James L. Brooks,Luis Mandoki
Roger Donaldson,Jonathan Lynn
Lee Unkrich,Tom Hanks
Bo Welch,Malcolm D. Lee
Barry Cook,Richard Curtis
Andrzej Bartkowiak,Brian Helgeland
Marc Lawrence,Stephen Herek
Steven Spielberg,Lee Toland Krieger
Rob Letterman,Michael McCullers
Steven Spielberg,Tim McCanlies
NA,Michael Ritchie
F. Gary Gray,Andrew Niccol
Robert Schwentke,Scott Hicks
John McTiernan,Charles Martin Smith
Ryan Murphy,Stephen Herek
Jon Favreau,Woody Allen
