source,target
Joseph Kosinski,David Fincher
Chris Weitz,Oliver Stone
Robert Zemeckis,Stephen Sommers
Michael Bay,Jon Turteltaub
Rob Marshall,Kenneth Branagh
Brett Ratner,Chris Miller
Joseph Kosinski,Jon Turteltaub
Jon Favreau,Doug Liman
Joseph Kosinski,Wolfgang Petersen
Robert Zemeckis,Matt Reeves
Martin Scorsese,Doug Liman
James Cameron,Edward Zwick
Ridley Scott,Kenneth Branagh
Brett Ratner,Oliver Stone
Lana Wachowski,Carl Rinsch
Rob Letterman,Matt Reeves
Nathan Greno,Rob Minkoff
J.J. Abrams,Francis Lawrence
Mike Newell,David Fincher
Anthony Russo,Kenneth Branagh
Brett Ratner,Shawn Levy
Martin Scorsese,Matt Reeves
Sam Raimi,Alessandro Carloni
Brett Ratner,Gavin Hood
Rob Letterman,Mike Mitchell
Zack Snyder,Rob Minkoff
Doug Liman,Rupert Sanders
Bryan Singer,Rob Minkoff
Barry Sonnenfeld,M. Night Shyamalan
Ridley Scott,Joe Johnston
Brett Ratner,George Miller
Martin Campbell,Oliver Stone
Martin Scorsese,Mike Mitchell
Doug Liman,Robert Stromberg
Peter Berg,Jonathan Liebesman
David Ayer,Carl Rinsch
Marc Webb,M. Night Shyamalan
Anthony Russo,Joe Johnston
Steven Spielberg,Wolfgang Petersen
Christopher Nolan,Breck Eisner
David Yates,Dean Parisot
Martin Campbell,Gavin Hood
McG,Eric Darnell
Mike Newell,Duncan Jones
Roland Emmerich,Matthew Vaughn
Robert Zemeckis,David Fincher
Ridley Scott,Simon Wells
James Cameron,NA
Joss Whedon,Richard Donner
J.J. Abrams,Eric Darnell
Doug Liman,Brad Bird
James Cameron,Alejandro G. Iñárritu
Gore Verbinski,NA
Sam Mendes,NA
David Yates,Ang Lee
Colin Trevorrow,M. Night Shyamalan
Lee Unkrich,Ron Howard
Matt Reeves,Roland Joffé
Christopher Nolan,NA
Bryan Singer,Richard Donner
Marc Webb,Paul Feig
