source,source_label,target,target_label
374,Barry Corbin,627,Nia Long
258,Harold Perrineau,465,John de Lancie
85,Anthony Hopkins,233,Vanessa Redgrave
81,Dominic Cooper,447,Joseph Gilgun
546,Jennifer Jason Leigh,2217,Tom Noonan
54,Jim Broadbent,476,Imelda Staunton
529,Catherine Deneuve,1223,Isabelle Huppert
157,Cary-Hiroyuki Tagawa,230,Tia Carrere
87,Janeane Garofalo,3224,Vince Vieluf
707,Zoë Kravitz,1139,Jeremy Davies
215,Bob Hoskins,3225,Robbie Kay
301,Colin Firth,54,Jim Broadbent
872,Kurtwood Smith,3226,Laurel Holloman
1294,Faye Dunaway,3227,Marina Sirtis
1295,Sean Lennon,3228,Mick Lally
145,James Corden,3229,Karen Pittman
836,Hunter Parrish,1011,Bruce Dern
491,Jerry Ferrara,3230,Tony Devon
298,Rufus Sewell,180,Hayley Atwell
24,Robert Downey Jr.,52,Robin Wright
1058,Anna Friel,2245,Catherine McCormack
1296,Alexia Fast,2231,Henry Czerny
169,Will Ferrell,1570,Eddie Griffin
118,Rupert Grint,275,Rupert Everett
465,John de Lancie,3231,Larry Drake
6,Tom Hardy,2299,Jack O'Connell
511,Brian Dennehy,2885,Brad Renfro
582,Michael Angarano,3232,Chris Owen
1297,Ian Tracey,3233,Zen McGrath
1298,Mitsuo Iwata,3234,Takeshi Kusao
77,Paul Walker,354,Olivia Wilde
1299,Stephen McHattie,3235,Roy Dupuis
1300,Rachel Ann Mullins,3236,Josh Henderson
1301,Leehom Wang,3237,Ruby Lin
1302,Celia Imrie,2388,Ben Miles
1303,Mckenna Grace,3238,Lucy Fry
292,Charlotte Rampling,2782,Ludivine Sagnier
1304,Spencer Wilding,3239,Mark Wingett
307,Delroy Lindo,1615,Joan Chen
1305,Scott Takeda,3240,Helena Mattsson
133,Morgan Freeman,1632,Jessica Tandy
162,Vanessa Williams,484,Mekhi Phifer
1306,Françoise Yip,3241,Anita Mui
417,Viggo Mortensen,3242,Reda Kateb
9,J.K. Simmons,898,Cameron Bright
547,Jay Hernandez,1162,Lauren German
81,Dominic Cooper,245,Olivia Williams
168,Frances Conroy,542,Bridgette Wilson-Sampras
1307,Joely Richardson,1724,Beau Bridges
150,Jason Patric,2257,Chi McBride
1308,Molly Parker,3243,Paul Gross
343,Ivana Milicevic,2748,Jenny McCarthy
1309,Eric Johnson,3244,Brenda Strong
9,J.K. Simmons,378,Mila Kunis
33,Jeff Bridges,794,Cheech Marin
1310,Sandrine Kiberlain,3245,Edouard Baer
1062,Samantha Morton,3246,Om Puri
215,Bob Hoskins,1099,Jenny Agutter
205,Don Cheadle,260,Loretta Devine
1141,Mia Wasikowska,3247,Michael McElhatton
1311,Akon,3248,Nathin Butler
1312,Saif Ali Khan,3249,Mary Goggin
529,Catherine Deneuve,512,Gena Rowlands
1011,Bruce Dern,1446,Teri Polo
1313,Max Riemelt,3250,Elyas M'Barek
66,Keanu Reeves,2663,Bella Heathcote
447,Joseph Gilgun,2299,Jack O'Connell
9,J.K. Simmons,185,James Franco
1314,George Coe,905,William Hootkins
9,J.K. Simmons,83,Jennifer Garner
1315,Darren Shahlavi,3251,Aki Aleong
646,Desmond Llewelyn,3252,Lois Maxwell
213,Al Pacino,376,Marlon Brando
1316,Michael Nouri,3253,Cynthia Rhodes
61,Joseph Gordon-Levitt,56,Chloë Grace Moretz
188,Holly Hunter,3254,Ian Mune
53,Channing Tatum,416,Alex Pettyfer
1317,Sullivan Stapleton,1915,Emma Caulfield
669,Yaphet Kotto,3255,Geoffrey Holder
124,Clint Howard,1020,Frankie Muniz
35,Ryan Reynolds,3256,Sakina Jaffrey
349,Gary Dourdan,260,Loretta Devine
23,Leonardo DiCaprio,2110,Elizabeth Debicki
24,Robert Downey Jr.,350,Tate Donovan
96,Philip Seymour Hoffman,3257,Michael J. Burg
400,Quentin Tarantino,29,Steve Buscemi
177,Milla Jovovich,678,Sarah Polley
399,Kirsten Dunst,246,Adam Goldberg
1004,Farrah Fawcett,1099,Jenny Agutter
21,Christopher Lee,3258,Hervé Villechaize
410,Bill Duke,3110,Vanity
1318,MyAnna Buring,3259,Shauna Macdonald
195,Bill Murray,3260,Michael Jordan
654,Zach Gilford,3261,Allison Miller
1075,Lily Tomlin,3262,Mary Tyler Moore
1319,Sid Haig,3263,Ken Foree
224,Sarah Michelle Gellar,377,Alyson Hannigan
1320,Kimberly Elise,3264,Rick Fox
288,LL Cool J,539,Omar Epps
27,Albert Finney,2106,Helen McCrory
1319,Sid Haig,3265,Matthew McGrory
1321,Bernard Fox,3266,Elizabeth MacRae
1322,Michael Stuhlbarg,3267,Fred Melamed
195,Bill Murray,229,Robert Duvall
486,Julian Sands,621,Richard E. Grant
805,Minnie Driver,1133,Nate Parker
301,Colin Firth,3268,Teddy Sears
1323,Irvin Kershner,3269,Barbara Hershey
1324,Jonathan Brandis,3270,George Wendt
1325,Indira Varma,2306,Martin Henderson
1326,Roy Billing,3271,David Gulpilil
937,Jeffrey Jones,666,Faizon Love
1327,Michael J. Pollard,204,Alun Armstrong
1328,Melinda Clarke,383,Xander Berkeley
206,Anne Hathaway,3272,Nathaniel Lees
1068,Jensen Ackles,1621,Ashley Scott
1176,Shah Rukh Khan,3273,Preity Zinta
641,Alice Braga,3274,Randy Couture
420,Matt Walsh,3275,Tim Guinee
751,Bruce McGill,3276,Cheryl Ladd
101,Ed Begley Jr.,1170,Michael McKean
566,Hayden Christensen,524,Jimmy Fallon
1329,Ezra Miller,2346,Siobhan Fallon Hogan
1330,Samantha Barks,2977,Hans Matheson
722,Ellen Burstyn,615,Marley Shelton
59,Tom Cruise,2875,Shelley Long
22,Naomi Watts,2490,Jimmy Smits
529,Catherine Deneuve,3277,Terence Hill
908,Christian Clavier,3278,Isabelle Nanty
1331,Nathalie Fay,3279,Chris Pontius
1332,Geoff Stults,3280,Susie Abromeit
372,Taylor Negron,2862,Raquel Welch
61,Joseph Gordon-Levitt,134,Natalie Portman
621,Richard E. Grant,3239,Mark Wingett
112,Matt Damon,3281,Casey Affleck
245,Olivia Williams,1168,Luke Newberry
255,Steve Carell,655,Josh Charles
1333,Lynn Cohen,2923,Marian Seldes
1334,Leonid Yarmolnik,3282,Yuriy Tsurilo
11,Chris Hemsworth,423,Mike Starr
688,Emily Watson,388,Julie Walters
395,Norman Reedus,3283,David Della Rocco
1335,Michael Wong,930,Louis Koo
435,Alden Ehrenreich,1011,Bruce Dern
1336,Erin Fitzgerald,3284,Wendee Lee
1337,Debi Derryberry,3285,Kate Higgins
306,Clint Eastwood,2391,Chris Penn
1338,Ben Browder,382,Christopher Judge
177,Milla Jovovich,246,Adam Goldberg
1158,Lucas Grabeel,1538,Corbin Bleu
1339,Gordon Pinsent,3286,Justin Edward Seale
1340,Rex Baker,3051,Edi Gathegi
1341,Heike Makatsch,3287,Johanna Wokalek
274,Rory Culkin,1087,John Heard
1342,Glenn Plummer,3288,Jason Cerbone
40,Jennifer Lawrence,1984,Nolan Gerard Funk
1343,Lubna Azabal,3289,Mélissa Désormeaux-Poulin
1344,Laura Morante,3290,Silvio Muccino
54,Jim Broadbent,3291,Brendan Coyle
1157,Wagner Moura,3292,Fernanda Machado
117,Alfre Woodard,1716,Annabelle Wallis
1345,Deborah Mailman,3293,Magda Szubanski
1346,John Cothran,3294,Lloyd Avery II
906,Esai Morales,3295,Rosanna DeSoto
1347,Rita Moreno,3296,Len Cariou
1348,Angie Dickinson,955,David Margulies
1048,Curtis Armstrong,168,Frances Conroy
678,Sarah Polley,1731,Jay Mohr
1349,Greg Germann,3297,Marin Hinkle
1350,David Wayne,3298,Paula Kelly
1351,Leon,2434,Bob Gunton
1352,Merab Ninidze,3299,Juliane Köhler
128,Michael Fassbender,278,Nicole Beharie
6,Tom Hardy,941,Sally Hawkins
1353,Emily Podleski,1309,Eric Johnson
791,Alexander Skarsgård,264,Julia Ormond
52,Robin Wright,105,Matt Frewer
292,Charlotte Rampling,3300,Sara-Marie Maltha
29,Steve Buscemi,954,Yaya DaCosta
170,Ray Winstone,2594,Jed Brophy
1172,Sam Riley,1062,Samantha Morton
283,Michael Biehn,671,Brian Thompson
1354,Florian Lukas,3301,Chulpan Khamatova
1057,Stephen Graham,3302,Mark Bazeley
1355,Linnea Quigley,1549,Clu Gulager
1356,Maria Pia Calzone,3303,Fortunato Cerlino
993,Ethan Suplee,1091,Jason Mewes
1357,Olivia Newton-John,575,Stockard Channing
4,Johnny Depp,788,Tom Berenger
1358,Osama bin Laden,3304,Stevie Wonder
1359,Katharine Ross,3305,Ted Cassidy
1360,Ed Wynn,3306,Glynis Johns
551,Adam Baldwin,708,Elizabeth McGovern
54,Jim Broadbent,253,Steve Coogan
1347,Rita Moreno,3307,George Chakiris
195,Bill Murray,3308,Rodney Dangerfield
433,Julie Benz,1969,Tatyana Ali
539,Omar Epps,3129,Tamala Jones
14,Kevin Spacey,152,Chazz Palminteri
1361,Lisa Wilcox,3309,Kelly Jo Minter
35,Ryan Reynolds,1048,Curtis Armstrong
444,Mark Margolis,3310,John D'Leo
767,Joseph Cotten,1944,Lillian Gish
103,John Michael Higgins,164,Catherine O'Hara
809,Donald Pleasence,3185,Adrienne Barbeau
1362,Tisha Campbell-Martin,3311,Ossie Davis
1005,Lochlyn Munro,1286,Brian Doyle-Murray
1363,Sammo Kam-Bo Hung,3312,Richard Norton
1170,Michael McKean,2827,Christopher Guest
221,Julia Roberts,277,Lili Taylor
54,Jim Broadbent,3313,Tuppence Middleton
60,Jeanne Tripplehorn,461,Kevin McNally
1160,Corbin Bernsen,3117,Clarence Williams III
250,David Oyelowo,2293,Simon McBurney
809,Donald Pleasence,3314,Tamara Glynn
75,Matthew McConaughey,3315,Brandon Smith
292,Charlotte Rampling,3316,Daryl Hannah
1087,John Heard,3081,Bud Cort
87,Janeane Garofalo,761,Dave Chappelle
9,J.K. Simmons,74,Bradley Cooper
169,Will Ferrell,1228,Adrian Martinez
1329,Ezra Miller,203,Curtiss Cook
205,Don Cheadle,975,Fionnula Flanagan
603,Drake Bell,604,Alona Tal
399,Kirsten Dunst,1098,Kathleen Turner
54,Jim Broadbent,3317,Annette Badland
1364,Hugh M. Hefner,3318,Windell Middlebrooks
113,Jim Parsons,91,Josh Gad
224,Sarah Michelle Gellar,584,Dylan Baker
1365,Francis Capra,3319,Jason Dohring
1366,John Cameron Mitchell,3320,Miriam Shor
1367,Antoni Corone,3321,Ryan Bollman
1368,Rachel Alig,3322,Monda Scott
566,Hayden Christensen,172,Rosario Dawson
1369,Chelcie Ross,3323,Lynne Thigpen
575,Stockard Channing,3230,Tony Devon
1370,William Holden,3324,Warren Oates
538,Mary-Kate Olsen,2502,Aaron Yoo
1371,Lesley-Anne Down,3325,Michael Elphick
1062,Samantha Morton,3326,Bryan Dick
1372,Michael Berryman,3327,Kari Wuhrer
986,Aidan Quinn,3328,Kendrick Cross
1373,Benoît Magimel,3329,Nathalie Baye
401,Jennifer Ehle,707,Zoë Kravitz
31,Bingbing Li,1885,Russell Wong
140,Tim Blake Nelson,3330,Diane Ladd
1374,James Nesbitt,245,Olivia Williams
212,Meryl Streep,1267,Jane Fonda
75,Matthew McConaughey,585,Scott Glenn
1375,Noam Chomsky,3331,Pat Buchanan
1178,Henry Thomas,3269,Barbara Hershey
1376,Catherine Bell,3113,Kevin Tighe
1377,Pruitt Taylor Vince,541,M. Emmet Walsh
44,Charlie Hunnam,354,Olivia Wilde
266,Connie Nielsen,986,Aidan Quinn
1378,Drew Waters,3332,Sean Cook
816,Romola Garai,3333,Blake Ritson
1379,Debbie Harry,3334,Leslie Carlson
832,Romain Duris,1589,Cécile De France
206,Anne Hathaway,3335,Shawn Parsons
353,Ryan Gosling,2391,Chris Penn
1380,Yorick van Wageningen,3336,Tygo Gernandt
335,Billy Burke,507,Michael Jai White
1381,Jeanne Moreau,3337,Paul Scofield
532,Mira Sorvino,3338,John Billingsley
580,Jon Foo,3339,Nathan Jones
362,Sean Pertwee,784,Frank Finlay
1382,Simon Bird,3340,Belinda Stewart-Wilson
616,Archie Panjabi,3341,Parminder Nagra
119,Miguel Ferrer,1902,Edie Falco
1383,Wesley Jonathan,3342,Wayne Brady
1384,Asin,3343,Mithun Chakraborty
1385,Jonathan D. Mellor,3344,Pablo Rosso
1386,Kayla Jackson,3345,Alexis Biesiada
352,Eileen Brennan,1425,Robert Shaw
1387,Alice Krige,2263,Ben Cross
598,Cicely Tyson,1320,Kimberly Elise
1249,Noah Taylor,422,Armin Mueller-Stahl
61,Joseph Gordon-Levitt,62,Scarlett Johansson
306,Clint Eastwood,3346,Richard Bull
62,Scarlett Johansson,29,Steve Buscemi
144,Kate Winslet,54,Jim Broadbent
1388,Stephen Macht,3347,Avery Schreiber
1389,Jean-Baptiste Maunier,3348,François Berléand
612,Paul Sorvino,3349,Luke Kirby
1390,Alexis Dziena,421,Louis Lombardi
1391,Ruby Dee,1581,John Savage
224,Sarah Michelle Gellar,1213,Eric Stoltz
1392,Jean-Pierre Léaud,3350,Kati Outinen
1393,Philippe Nahon,3351,Albert Dupontel
1394,Lindsay Kay Hayward,3352,Hitoshi Matsumoto
1395,Anupam Kher,1124,Steven Mackintosh
1396,Kim Shaw,1087,John Heard
606,Jim Gaffigan,3353,Cree Kelly
67,Jon Hamm,2513,Ken Marino
215,Bob Hoskins,208,Paddy Considine
1397,Aksel Hennie,3354,Synnøve Macody Lund
1398,Russell Tovey,1149,Richard Coyle
1399,Campbell Scott,3355,Adam Butcher
1062,Samantha Morton,3356,Jessica Chastain
1400,Teresa Wright,3357,Bill Erwin
1401,Abhishek Bachchan,3358,Bipasha Basu
630,Lin Shaye,3269,Barbara Hershey
978,Emmanuelle Vaugier,929,Tony Nappo
74,Bradley Cooper,3359,John Gallagher Jr.
845,Bam Margera,2788,Steve-O
335,Billy Burke,3360,Amiah Miller
1402,Johanna Braddy,1548,Sprague Grayden
630,Lin Shaye,1783,Shelley Hennig
1403,John Saxon,3219,Heather Langenkamp
513,Busy Philipps,3124,Allison Tolman
1404,Eugenio Derbez,3361,Jessica Lindsey
1405,Matt Shively,3362,Brendon Eggertsen
1186,Richard Burton,3363,Jean Simmons
1406,Burt Kwouk,3115,Herbert Lom
4,Johnny Depp,2708,Tom Arnold
236,Charlize Theron,1011,Bruce Dern
394,James Mason,3364,Robert J. Wilke
1407,Richard Cabral,3365,Gloria Sandoval
85,Anthony Hopkins,2501,Anne Bancroft
75,Matthew McConaughey,83,Jennifer Garner
354,Olivia Wilde,2037,Mark Duplass
638,Callum Rennie,881,Thomas Lennon
1408,James Lafferty,3366,Rory Cochrane
993,Ethan Suplee,1091,Jason Mewes
388,Julie Walters,831,Gary Lewis
255,Steve Carell,2115,Liam James
1409,William Schallert,1362,Tisha Campbell-Martin
1410,Tony Bonner,3367,Jack Thompson
179,Frank Welker,3368,Constance Shulman
1411,John Beasley,2690,Todd Allen
1294,Faye Dunaway,383,Xander Berkeley
339,Zooey Deschanel,194,Adam Scott
1033,William Hurt,121,Tony Curran
88,Bernie Mac,1903,Monica Calhoun
484,Mekhi Phifer,3087,Andrew Keegan
1196,Ben Feldman,3369,Edwin Hodge
1185,Boris Kodjoe,3370,Cameron Mills
1193,Jurnee Smollett-Bell,3213,Lynn Whitfield
227,Kristen Stewart,836,Hunter Parrish
1412,Gene Tierney,1278,Peter Ustinov
240,Sylvester Stallone,3371,Lindsay Wagner
1413,Kane Hodder,3372,Peter Mark Richman
935,Nia Vardalos,2863,Louis Mandylor
185,James Franco,3183,Heather Morris
809,Donald Pleasence,3373,Kim Darby
1414,Maribel Verdú,3374,Daniel Giménez Cacho
1415,Peter Serafinowicz,1208,Dylan Moran
1416,Jessica Lowndes,1825,Randy Wayne
75,Matthew McConaughey,3375,Clifton James
809,Donald Pleasence,3376,Kathleen Kinmont
982,Thomas F. Wilson,3377,Deborah Foreman
902,Steve Guttenberg,1037,Daniel Stern
381,David Carradine,3378,William Sanderson
1417,Warren Christie,3379,Ryan Robbins
363,Clifton Collins Jr.,753,Mary Lynn Rajskub
1418,Sterling Jerins,3380,Claire Geare
1419,Vanna Bonta,851,John Amos
1420,Gina Lollobrigida,3381,George Sanders
1421,Fred Willard,1073,Mike Epps
679,Eddie Cibrian,2181,Jenifer Lewis
1422,Gary Cooper,3382,Helen Hayes
795,Donald Faison,2287,Brandy Norwood
1423,Lara Jill Miller,3383,Colleen O'Shaughnessey
517,Macaulay Culkin,326,Patrick Fugit
1424,Marie-Josée Croze,3384,Stéphane Rousseau
1425,Robert Shaw,3175,Denholm Elliott
1426,Brendan Fehr,3385,Kerr Smith
45,Harrison Ford,3386,Carl Weathers
1427,Fran Drescher,2698,Gedde Watanabe
933,Linda Cardellini,1729,Joel David Moore
453,Natasha Lyonne,1798,Kevin Corrigan
1428,Claudia Cardinale,1893,Woody Strode
214,Jon Favreau,666,Faizon Love
14,Kevin Spacey,3387,Matt Berry
847,Miranda Cosgrove,3193,Jami Gertz
1429,Norbert Ferrer,3388,Guillaume Denaiffe
239,Bruce Greenwood,678,Sarah Polley
1260,Lambert Wilson,3389,Michael Lonsdale
12,Alan Rickman,2275,Freddy Rodríguez
1430,Cassandra Peterson,3390,Tim Thomerson
144,Kate Winslet,2594,Jed Brophy
566,Hayden Christensen,3391,Bobby Batson
169,Will Ferrell,1305,Scott Takeda
1431,Kim Dickens,735,Ryan O'Neal
37,Christian Bale,546,Jennifer Jason Leigh
1432,Dana Delany,3392,Jane Adams
122,Jeremy Renner,692,Paz Vega
775,Dianne Wiest,2386,Jon Tenney
517,Macaulay Culkin,432,Mia Kirshner
1433,Alia Shawkat,3008,Mark Webber
1434,Liza Minnelli,3393,Tim Russ
504,Joaquim de Almeida,1349,Greg Germann
1435,Andrew Wilson,3394,Darryl Cox
417,Viggo Mortensen,34,Joe Mantegna
1436,Akshaye Khanna,3395,Bhoomika Chawla
1437,Jeffrey Frost,3396,Megan Ambuhl Graner
1438,Raymond Burr,3397,Don Gordon
927,Katrina Bowden,686,Tyler Labine
194,Adam Scott,722,Ellen Burstyn
1439,Judith Anderson,3398,Paul Fix
993,Ethan Suplee,1087,John Heard
1440,Meghan Ory,3399,Marc Trottier
1441,Ocean James,3400,Patch Darragh
1442,Mike Figueroa,3401,Daniel Stewart Sherman
456,Adam Garcia,3402,Jacqueline Bisset
188,Holly Hunter,2342,Dylan Minnette
1443,Glenn Campbell,3403,Sandra Staggs
1444,Luis Tosar,3404,Tony Corvillo
1445,Dave Legeno,3405,Doug Bradley
972,Henry Ian Cusick,2494,Callum Blue
377,Alyson Hannigan,3406,John Stamos
759,Heather Locklear,1611,Patricia Neal
1160,Corbin Bernsen,3149,Dulé Hill
855,Billy Crudup,2195,Felicity Huffman
152,Chazz Palminteri,3407,Cyndi Lauper
285,Gary Cole,371,Jon Heder
1446,Teri Polo,906,Esai Morales
79,Nicolas Cage,3408,Irène Jacob
1447,James Frain,3409,Sofia Black-D'Elia
1448,David Huddleston,470,Sam Waterston
314,Michael Rapaport,583,Natasha Henstridge
1449,David Raizor,3410,Cody Howard
4,Johnny Depp,200,Haley Joel Osment
1450,Mikal Vega,1950,Michael Dudikoff
1451,Julia Jentsch,3411,Ivan Barnev
1452,Udo Kier,915,Moritz Bleibtreu
229,Robert Duvall,2407,Dwight Yoakam
351,Isaac Hempstead Wright,476,Imelda Staunton
547,Jay Hernandez,3412,Takashi Miike
253,Steve Coogan,209,Shirley Henderson
1453,Katy Mixon,2430,Shea Whigham
1454,Alex Rocco,3413,Lukas Haas
118,Rupert Grint,388,Julie Walters
795,Donald Faison,202,Greg Grunberg
1455,Bill Johnson,3414,Lou Perryman
633,James Coburn,3415,Bob Dylan
353,Ryan Gosling,939,Kristin Scott Thomas
393,Denis Lavant,3416,Isild Le Besco
1456,Maria Conchita Alonso,3011,Kate del Castillo
1457,Bhama,3417,Diganth
72,Gerard Butler,726,Sharon Small
1458,Keith Carradine,3418,Gary Farmer
1459,Sara Forestier,3419,Jacques Gamblin
707,Zoë Kravitz,3420,Douglas Smith
389,Eddie Redmayne,2666,Elena Anaya
1460,William Kircher,3421,Matthew Sunderland
902,Steve Guttenberg,3422,Bubba Smith
1461,Brooke Shields,3423,Christopher Atkins
939,Kristin Scott Thomas,3424,James Fleet
546,Jennifer Jason Leigh,304,Judge Reinhold
1462,Royal Dano,3425,Richard Basehart
96,Philip Seymour Hoffman,172,Rosario Dawson
1463,Dan Fogler,3426,Indiana Evans
267,Christopher Meloni,3427,Kevin Michael Richardson
722,Ellen Burstyn,444,Mark Margolis
1464,Dana Andrews,3428,Jeanne Crain
1465,Mía Maestro,3429,Juan Luis Galiardo
341,Jim Belushi,1581,John Savage
1466,Alex Kendrick,3430,Sarah Drew
43,Jake Gyllenhaal,916,Mary McDonnell
1467,Jaime Camil,3431,Gerardo Taracena
1468,Jan Decleir,3432,Fedja van Huêt
326,Patrick Fugit,764,Nicholas Gonzalez
1469,Rich Pecci,209,Shirley Henderson
1117,Min-sik Choi,3433,Yeong-ae Lee
1470,Nicolas Giraud,3434,Clovis Fouin
38,Jason Statham,254,Jason Flemyng
1471,Simon Yam,3435,Anthony Chau-Sang Wong
104,Sam Shepard,3436,Dominique McElligott
1472,Oksana Akinshina,3437,Artyom Bogucharskiy
25,Liam Neeson,655,Josh Charles
1473,Jimmy Shergill,3438,Sana Saeed
919,Scatman Crothers,1372,Michael Berryman
1474,Katherine McNamara,3439,Dove Cameron
1475,Sid Caesar,3009,Dom DeLuise
1476,Nimrat Kaur,3440,Sameer Ali Khan
84,Zack Ward,3441,Jonathan Crombie
507,Michael Jai White,3442,Michael J. Morris
180,Hayley Atwell,170,Ray Winstone
170,Ray Winstone,3443,James Fox
1477,Fabian Bolin,2408,Fares Fares
594,Keisha Castle-Hughes,3444,Rawiri Paratene
1478,Vidya Balan,1401,Abhishek Bachchan
1479,Yangzom Brauen,3445,Claude-Oliver Rudolph
28,Hugh Jackman,748,Cara Delevingne
1158,Lucas Grabeel,1538,Corbin Bleu
332,Dorian Missick,1244,Daniella Alonso
1035,Jason Priestley,1753,Maury Chaykin
693,Konstantin Khabenskiy,3446,Aleksey Chadov
54,Jim Broadbent,1218,Miranda Richardson
1480,Art Hindle,3447,Susan Clark
1481,Julian Richings,2857,Shawn Roberts
1482,Judith O'Dea,3448,Duane Jones
62,Scarlett Johansson,195,Bill Murray
743,Woody Allen,535,Carol Kane
1483,Gloria Grahame,3449,Dorothy Lamour
37,Christian Bale,1066,María Valverde
143,Heath Ledger,2486,Peter Boyle
1307,Joely Richardson,428,J.D. Evermore
79,Nicolas Cage,2396,Valeria Golino
1484,Molly C. Quinn,2400,Lara Flynn Boyle
1355,Linnea Quigley,1549,Clu Gulager
554,Austin Pendleton,3450,Harold Gould
629,Ryan Guzman,1873,Hill Harper
1420,Gina Lollobrigida,3451,Katy Jurado
188,Holly Hunter,2342,Dylan Minnette
165,Josh Hutcherson,1141,Mia Wasikowska
1485,Meg Foster,2591,Peter Jason
633,James Coburn,809,Donald Pleasence
1486,Marlee Matlin,840,Elaine Hendrix
427,Muse Watson,2596,Spencer Treat Clark
1487,Ellar Coltrane,3452,Lorelei Linklater
62,Scarlett Johansson,461,Kevin McNally
157,Cary-Hiroyuki Tagawa,337,Estella Warren
1488,Angell Conwell,3453,Dr. Dre
561,Mo'Nique,1073,Mike Epps
337,Estella Warren,612,Paul Sorvino
1489,Montgomery Clift,3454,Kevin McCarthy
89,Robin Williams,158,Joe Morton
294,Vincent Pastore,3455,William Hickey
779,Frank Grillo,2727,Emily Meade
1490,Geraldine Chaplin,1090,Belén Rueda
1491,Ashley Rickards,1608,Essence Atkins
842,Ian Somerhalder,1294,Faye Dunaway
1492,Roscoe Lee Browne,1246,John Vernon
584,Dylan Baker,2257,Chi McBride
114,Salma Hayek,645,Alicia Witt
1139,Jeremy Davies,1299,Stephen McHattie
777,Laura Ramsey,3456,Alan Taylor
521,Michael Wincott,2729,Zach Grenier
164,Catherine O'Hara,1421,Fred Willard
343,Ivana Milicevic,2426,Tyra Banks
710,Philip Baker Hall,3457,Aaron Hughes
93,Kelli Garner,984,Lou Taylor Pucci
1493,Anna Gunn,582,Michael Angarano
1494,Stephanie Leonidas,3458,Gina McKee
1495,Collin Alfredo St. Dic,3459,Balinese Tari Legong Dancers
1372,Michael Berryman,3460,Eva LaRue
582,Michael Angarano,574,Blair Underwood
170,Ray Winstone,2709,Alexandra Breckenridge
152,Chazz Palminteri,1179,Ricky Schroder
47,Kelly Macdonald,682,Saffron Burrows
1496,Kylie Minogue,3461,Leos Carax
79,Nicolas Cage,2561,Tye Sheridan
1497,Peter McNamara,1999,Dan Futterman
417,Viggo Mortensen,1187,Lane Smith
1498,Lauren Ambrose,3462,Kathleen Robertson
674,Craig Ferguson,640,Frances Fisher
1499,Hector Kotsifakis,1653,Adriana Barraza
1500,Noah Emmerich,3463,Jordan Trovillion
1058,Anna Friel,2262,Brían F. O'Byrne
1501,Rachel Griffiths,3464,Alan Williams
52,Robin Wright,22,Naomi Watts
114,Salma Hayek,3465,Danny Arroyo
1444,Luis Tosar,3466,Enrique Villén
1502,Connor Paolo,3467,Michael Cerveris
1503,Doug Brochu,3468,Tiffany Thornton
66,Keanu Reeves,2537,Marg Helgenberger
1157,Wagner Moura,3469,Clemens Schick
642,George Kennedy,1329,Ezra Miller
1504,Ed Speleers,1143,Eamonn Walker
1147,David Hewlett,3470,Angelo Tsarouchas
693,Konstantin Khabenskiy,3471,Elena Lyadova
757,Blythe Danner,639,Ken Howard
1505,Saad Siddiqui,3472,Bonnie Lee Bouman
1506,Jean Harlow,3473,Marian Marsh
478,Debra Messing,3052,Rosemarie DeWitt
1507,Lily Rabe,3474,Shannon Woodward
1508,Robin McLeavy,3475,Jessica McNamee
1509,Kristen Quintrall,3476,Rachel Sterling
1510,Eric Mabius,2700,Gina Holden
1511,Rachel Hendrix,3276,Cheryl Ladd
133,Morgan Freeman,262,Ayelet Zurer
1425,Robert Shaw,3477,Susannah York
229,Robert Duvall,1294,Faye Dunaway
1512,Hattie McDaniel,3478,George Reeves
1513,Tom Cullen,3479,Reece Ritchie
633,James Coburn,1522,Slim Pickens
340,Snoop Dogg,2740,Laz Alonso
1514,Keenan Wynn,3480,Howard Keel
1515,Kayvan Novak,2163,Riz Ahmed
1516,Fernanda Montenegro,3481,Seu Jorge
317,Michael Kelly,929,Tony Nappo
1517,Gladys Cooper,3482,Reginald Owen
1518,Alice Olivia Clarke,3483,Susan Blommaert
81,Dominic Cooper,1398,Russell Tovey
25,Liam Neeson,284,Frank Langella
1040,David Ogden Stiers,3484,Jamie Farr
1519,Brenda Vaccaro,3485,Barnard Hughes
387,Tom Wilkinson,20,Mark Addy
1520,Peter Graves,3486,Lloyd Bridges
507,Michael Jai White,2251,Max Ryan
627,Nia Long,477,John Witherspoon
99,Jada Pinkett Smith,3487,Larenz Tate
1521,Ta'Rhonda Jones,2215,Gabourey Sidibe
642,George Kennedy,2357,Holt McCallany
1522,Slim Pickens,950,Jason Robards
1523,John Forsythe,2289,Robert Blake
1524,Colleen Dewhurst,3488,Peter Finch
876,Janet Leigh,2756,Robert Wagner
1525,Bernard Cribbins,2677,Jean Marsh
1481,Julian Richings,3489,Kate Dickie
1526,Joe Estevez,3490,Master P
1527,John Mahoney,3491,Frank Vincent
243,Brendan Fraser,3492,Lynn Redgrave
1528,Ricardo Darín,3493,Soledad Villamil
967,Greg Nicotero,2888,John Amplas
1529,Gideon Emery,3494,Gloria Votsis
1530,Ted Raimi,3495,Dan Hicks
1531,Wanda Sykes,2717,J.B. Smoove
434,Ian Ziering,1087,John Heard
