source,source_label,target,target_label
53,Channing Tatum,2136,Jake Weber
97,Elisabeth Harnois,1463,Dan Fogler
28,Hugh Jackman,144,Kate Winslet
28,Hugh Jackman,748,Cara Delevingne
98,Ty Burrell,2137,Zach Callison
78,Brad Pitt,183,Orlando Bloom
99,Jada Pinkett Smith,186,Martin Short
100,Toby Stephens,108,Colin Salmon
101,Ed Begley Jr.,2138,Kate McKinnon
102,Bruce Willis,29,Steve Buscemi
17,Will Smith,172,Rosario Dawson
52,Robin Wright,85,Anthony Hopkins
9,J.K. Simmons,63,Angelina Jolie Pitt
59,Tom Cruise,122,Jeremy Renner
28,Hugh Jackman,2139,Kamil McFadden
103,John Michael Higgins,460,Richard Burgi
59,Tom Cruise,1025,Tony Goldwyn
37,Christian Bale,1066,María Valverde
11,Chris Hemsworth,197,Leonard Nimoy
9,J.K. Simmons,185,James Franco
72,Gerard Butler,156,Djimon Hounsou
72,Gerard Butler,2140,Elodie Yung
104,Sam Shepard,158,Joe Morton
105,Matt Frewer,855,Billy Crudup
57,Jet Li,578,Rene Russo
106,Kevin Rankin,2141,Regi Davis
53,Channing Tatum,141,Dwayne Johnson
75,Matthew McConaughey,677,Rainn Wilson
29,Steve Buscemi,196,Ming-Na Wen
107,Chris Evans,81,Dominic Cooper
108,Colin Salmon,2142,Maria Grazia Cucinotta
109,James D'Arcy,2143,Lee Ingleby
86,Robert Pattinson,227,Kristen Stewart
89,Robin Williams,78,Brad Pitt
98,Ty Burrell,1076,Peter Mensah
110,Don Johnson,2144,Philip Michael Thomas
111,Mark Rylance,2145,Penelope Wilton
23,Leonardo DiCaprio,6,Tom Hardy
35,Ryan Reynolds,340,Snoop Dogg
4,Johnny Depp,170,Ray Winstone
41,Benedict Cumberbatch,2146,Annet Mahendru
112,Matt Damon,965,Edgar Ramírez
63,Angelina Jolie Pitt,320,Wayne Knight
68,Judy Greer,180,Hayley Atwell
40,Jennifer Lawrence,165,Josh Hutcherson
86,Robert Pattinson,227,Kristen Stewart
113,Jim Parsons,2147,Matt Jones
59,Tom Cruise,506,Lisa Ann Walter
17,Will Smith,2148,Henry Rollins
114,Salma Hayek,2149,Constance Marie
63,Angelina Jolie Pitt,2150,Andre Braugher
85,Anthony Hopkins,344,Emma Watson
115,Toby Jones,2151,Mackenzie Crook
116,Daniel Radcliffe,64,Gary Oldman
90,Essie Davis,2152,Bryan Brown
17,Will Smith,707,Zoë Kravitz
117,Alfre Woodard,2153,D.B. Sweeney
118,Rupert Grint,1445,Dave Legeno
89,Robin Williams,302,Rami Malek
9,J.K. Simmons,78,Brad Pitt
116,Daniel Radcliffe,2154,Fiona Shaw
35,Ryan Reynolds,33,Jeff Bridges
76,Mark Chinnery,2127,Shin'ya Tsukamoto
4,Johnny Depp,183,Orlando Bloom
118,Rupert Grint,115,Toby Jones
40,Jennifer Lawrence,96,Philip Seymour Hoffman
36,Tom Hanks,2155,Seth Gabel
119,Miguel Ferrer,2156,Rachel Crow
28,Hugh Jackman,2157,Bruce Davison
77,Paul Walker,130,Vin Diesel
24,Robert Downey Jr.,42,Eddie Marsan
25,Liam Neeson,254,Jason Flemyng
120,Ronny Cox,2158,Rachel Ticotin
121,Tony Curran,2159,Vladimir Kulich
122,Jeremy Renner,585,Scott Glenn
123,Michael Gough,71,Vivica A. Fox
124,Clint Howard,2160,T.J. Thyne
43,Jake Gyllenhaal,187,Dennis Quaid
59,Tom Cruise,367,Dougray Scott
125,Karen Allen,1274,Mary Elizabeth Mastrantonio
107,Chris Evans,176,Ioan Gruffudd
126,Suraj Sharma,2161,Rafe Spall
79,Nicolas Cage,2162,Matt Long
112,Matt Damon,2163,Riz Ahmed
127,Demi Moore,88,Bernie Mac
128,Michael Fassbender,236,Charlize Theron
129,Nathan Lane,10,Brad Garrett
112,Matt Damon,647,Sharlto Copley
130,Vin Diesel,2164,Alexa Davalos
64,Gary Oldman,167,Abbie Cornish
131,Scott Porter,2165,Kick Gurry
132,Shelley Conn,2166,Domenick Lombardozzi
59,Tom Cruise,366,Marc Blucas
133,Morgan Freeman,59,Tom Cruise
134,Natalie Portman,21,Christopher Lee
134,Natalie Portman,21,Christopher Lee
29,Steve Buscemi,49,John Ratzenberger
28,Hugh Jackman,2167,Tao Okamoto
134,Natalie Portman,25,Liam Neeson
35,Ryan Reynolds,19,Emma Stone
135,Alain Delon,2168,Santiago Segura
79,Nicolas Cage,2169,Roger Willie
11,Chris Hemsworth,850,Sam Claflin
136,Noel Fisher,2170,Danny Woodburn
137,Phaldut Sharma,2171,Basher Savage
138,Jamie Renée Smith,2172,Grant Heslov
139,Stephen Amell,136,Noel Fisher
140,Tim Blake Nelson,2173,Reg E. Cathey
89,Robin Williams,302,Rami Malek
141,Dwayne Johnson,176,Ioan Gruffudd
142,Vincent Schiavelli,108,Colin Salmon
143,Heath Ledger,551,Adam Baldwin
78,Brad Pitt,221,Julia Roberts
78,Brad Pitt,63,Angelina Jolie Pitt
144,Kate Winslet,286,Theo James
23,Leonardo DiCaprio,194,Adam Scott
145,James Corden,2174,Catherine Tate
5,Christoph Waltz,387,Tom Wilkinson
146,George Peppard,2175,Dirk Benedict
147,Eva Green,1317,Sullivan Stapleton
148,Mahadeo Shivraj,2176,Tim Gunn
29,Steve Buscemi,2177,Roseanne Barr
22,Naomi Watts,286,Theo James
28,Hugh Jackman,2178,Torey Michael Adkins
149,Jacob Tremblay,1552,Nancy O'Dell
150,Jason Patric,2108,Temuera Morrison
45,Harrison Ford,2179,Moises Arias
102,Bruce Willis,2180,Jonathan Sadowski
21,Christopher Lee,183,Orlando Bloom
54,Jim Broadbent,253,Steve Coogan
17,Will Smith,99,Jada Pinkett Smith
151,Sean Hayes,368,Kelly Preston
17,Will Smith,239,Bruce Greenwood
25,Liam Neeson,183,Orlando Bloom
152,Chazz Palminteri,129,Nathan Lane
153,Oprah Winfrey,2181,Jenifer Lewis
112,Matt Damon,1725,Donald Glover
154,Mathew Buck,1766,NA
62,Scarlett Johansson,29,Steve Buscemi
155,Del Zamora,675,Warren Beatty
79,Nicolas Cage,63,Angelina Jolie Pitt
156,Djimon Hounsou,266,Connie Nielsen
59,Tom Cruise,779,Frank Grillo
116,Daniel Radcliffe,118,Rupert Grint
147,Eva Green,437,Tobias Menzies
157,Cary-Hiroyuki Tagawa,337,Estella Warren
158,Joe Morton,2182,Jenette Goldstein
4,Johnny Depp,37,Christian Bale
159,Denzel Washington,1391,Ruby Dee
160,Jamie Lee Curtis,230,Tia Carrere
159,Denzel Washington,2183,Ramon Rodriguez
161,Robert De Niro,757,Blythe Danner
141,Dwayne Johnson,169,Will Ferrell
162,Vanessa Williams,633,James Coburn
23,Leonardo DiCaprio,5,Christoph Waltz
127,Demi Moore,500,Jason Alexander
163,Eartha Kitt,2184,Wendie Malick
38,Jason Statham,240,Sylvester Stallone
79,Nicolas Cage,1540,Armando Riesco
156,Djimon Hounsou,1504,Ed Speleers
164,Catherine O'Hara,2185,Ryan Corr
28,Hugh Jackman,748,Cara Delevingne
165,Josh Hutcherson,2186,Emma Kenney
4,Johnny Depp,63,Angelina Jolie Pitt
3,CCH Pounder,444,Mark Margolis
23,Leonardo DiCaprio,156,Djimon Hounsou
23,Leonardo DiCaprio,75,Matthew McConaughey
123,Michael Gough,2187,Rene Auberjonois
166,Jake Busey,2188,Patrick Muldoon
36,Tom Hanks,463,Jim Sturgess
167,Abbie Cornish,2189,Richard Roxburgh
168,Frances Conroy,1055,Christopher Heyerdahl
141,Dwayne Johnson,298,Rufus Sewell
61,Joseph Gordon-Levitt,186,Martin Short
169,Will Ferrell,1058,Anna Friel
38,Jason Statham,240,Sylvester Stallone
170,Ray Winstone,965,Edgar Ramírez
171,Jamie Kennedy,2190,Traylor Howard
11,Chris Hemsworth,2191,Benjamin Walker
172,Rosario Dawson,2192,Randy Quaid
112,Matt Damon,2193,Sean Huze
173,Francesca Capaldi,2194,Venus Schultheis
174,Ben Gazzara,2195,Felicity Huffman
141,Dwayne Johnson,243,Brendan Fraser
23,Leonardo DiCaprio,25,Liam Neeson
37,Christian Bale,2196,Ni Ni
33,Jeff Bridges,339,Zooey Deschanel
175,Jon Lovitz,94,Matthew Broderick
176,Ioan Gruffudd,104,Sam Shepard
169,Will Ferrell,2197,Thomas Middleditch
177,Milla Jovovich,102,Bruce Willis
178,Chris Noth,1434,Liza Minnelli
179,Frank Welker,445,Rosie Perez
16,Peter Dinklage,91,Josh Gad
180,Hayley Atwell,2198,Derek Jacobi
181,Michael Imperioli,2199,AJ Michalka
182,Alexander Gould,391,Stephen Root
183,Orlando Bloom,2200,Billy Boyd
21,Christopher Lee,183,Orlando Bloom
33,Jeff Bridges,156,Djimon Hounsou
63,Angelina Jolie Pitt,1249,Noah Taylor
4,Johnny Depp,133,Morgan Freeman
184,Michael Jeter,1038,Trevor Morgan
185,James Franco,250,David Oyelowo
186,Martin Short,2201,Tod Fennell
102,Bruce Willis,815,Cole Hauser
187,Dennis Quaid,366,Marc Blucas
188,Holly Hunter,934,Craig T. Nelson
189,Christopher Masterson,284,Frank Langella
190,Logan Lerman,172,Rosario Dawson
17,Will Smith,740,Rip Torn
36,Tom Hanks,49,John Ratzenberger
159,Denzel Washington,172,Rosario Dawson
191,Mei Melançon,2202,John Lone
45,Harrison Ford,424,Amber Valletta
